Epoch [1/100], Step [400/400], Loss: 0.4433
Epoch [2/100], Step [400/400], Loss: 0.4433
Epoch [3/100], Step [400/400], Loss: 0.4433
Epoch [4/100], Step [400/400], Loss: 0.4433
Epoch [5/100], Step [400/400], Loss: 0.4434
Epoch [6/100], Step [400/400], Loss: 0.4434
Epoch [7/100], Step [400/400], Loss: 0.4434
Epoch [8/100], Step [400/400], Loss: 0.4434
Epoch [9/100], Step [400/400], Loss: 0.4434
Epoch [10/100], Step [400/400], Loss: 0.4434
Epoch [11/100], Step [400/400], Loss: 0.4434
Epoch [12/100], Step [400/400], Loss: 0.4434
Epoch [13/100], Step [400/400], Loss: 0.4434
Epoch [14/100], Step [400/400], Loss: 0.4434
Epoch [15/100], Step [400/400], Loss: 0.4434
Epoch [16/100], Step [400/400], Loss: 0.4434
Epoch [17/100], Step [400/400], Loss: 0.4434
Epoch [18/100], Step [400/400], Loss: 0.4434
Epoch [19/100], Step [400/400], Loss: 0.4434
Epoch [20/100], Step [400/400], Loss: 0.4434
Epoch [21/100], Step [400/400], Loss: 0.4434
Epoch [22/100], Step [400/400], Loss: 0.4434
Epoch [23/100], Step [400/400], Loss: 0.4434
Epoch [24/100], Step [400/400], Loss: 0.4434
Epoch [25/100], Step [400/400], Loss: 0.4434
Epoch [26/100], Step [400/400], Loss: 0.4434
Epoch [27/100], Step [400/400], Loss: 0.4434
Epoch [28/100], Step [400/400], Loss: 0.4434
Epoch [29/100], Step [400/400], Loss: 0.4434
Epoch [30/100], Step [400/400], Loss: 0.4434
Epoch [31/100], Step [400/400], Loss: 0.4434
Epoch [32/100], Step [400/400], Loss: 0.4434
Epoch [33/100], Step [400/400], Loss: 0.4434
Epoch [34/100], Step [400/400], Loss: 0.4434
Epoch [35/100], Step [400/400], Loss: 0.4434
Epoch [36/100], Step [400/400], Loss: 0.4434
Epoch [37/100], Step [400/400], Loss: 0.4434
Epoch [38/100], Step [400/400], Loss: 0.4434
Epoch [39/100], Step [400/400], Loss: 0.4434
Epoch [40/100], Step [400/400], Loss: 0.4434
Epoch [41/100], Step [400/400], Loss: 0.4434
Epoch [42/100], Step [400/400], Loss: 0.4434
Epoch [43/100], Step [400/400], Loss: 0.4434
Epoch [44/100], Step [400/400], Loss: 0.4434
Epoch [45/100], Step [400/400], Loss: 0.4434
Epoch [46/100], Step [400/400], Loss: 0.4434
Epoch [47/100], Step [400/400], Loss: 0.4434
Epoch [48/100], Step [400/400], Loss: 0.4434
Epoch [49/100], Step [400/400], Loss: 0.4435
Epoch [50/100], Step [400/400], Loss: 0.4435
Epoch [51/100], Step [400/400], Loss: 0.4435
Epoch [52/100], Step [400/400], Loss: 0.4435
Epoch [53/100], Step [400/400], Loss: 0.4435
Epoch [54/100], Step [400/400], Loss: 0.4435
Epoch [55/100], Step [400/400], Loss: 0.4435
Epoch [56/100], Step [400/400], Loss: 0.4435
Epoch [57/100], Step [400/400], Loss: 0.4435
Epoch [58/100], Step [400/400], Loss: 0.4435
Epoch [59/100], Step [400/400], Loss: 0.4435
Epoch [60/100], Step [400/400], Loss: 0.4435
Epoch [61/100], Step [400/400], Loss: 0.4435
Epoch [62/100], Step [400/400], Loss: 0.4435
Epoch [63/100], Step [400/400], Loss: 0.4435
Epoch [64/100], Step [400/400], Loss: 0.4435
Epoch [65/100], Step [400/400], Loss: 0.4435
Epoch [66/100], Step [400/400], Loss: 0.4435
Epoch [67/100], Step [400/400], Loss: 0.4435
Epoch [68/100], Step [400/400], Loss: 0.4435
Epoch [69/100], Step [400/400], Loss: 0.4435
Epoch [70/100], Step [400/400], Loss: 0.4435
Epoch [71/100], Step [400/400], Loss: 0.4435
Epoch [72/100], Step [400/400], Loss: 0.4435
Epoch [73/100], Step [400/400], Loss: 0.4435
Epoch [74/100], Step [400/400], Loss: 0.4435
Epoch [75/100], Step [400/400], Loss: 0.4435
Epoch [76/100], Step [400/400], Loss: 0.4435
Epoch [77/100], Step [400/400], Loss: 0.4426
Epoch [78/100], Step [400/400], Loss: 0.4071
Epoch [79/100], Step [400/400], Loss: 0.3999
Epoch [80/100], Step [400/400], Loss: 0.4000
Epoch [81/100], Step [400/400], Loss: 0.3655
Epoch [82/100], Step [400/400], Loss: 0.3278
Epoch [83/100], Step [400/400], Loss: 0.2884
Epoch [84/100], Step [400/400], Loss: 0.2653
Epoch [85/100], Step [400/400], Loss: 0.2431
Epoch [86/100], Step [400/400], Loss: 0.2241
Epoch [87/100], Step [400/400], Loss: 0.2044
Epoch [88/100], Step [400/400], Loss: 0.2044
Epoch [89/100], Step [400/400], Loss: 0.1930
Epoch [90/100], Step [400/400], Loss: 0.1811
Epoch [91/100], Step [400/400], Loss: 0.1683
Epoch [92/100], Step [400/400], Loss: 0.1539
Epoch [93/100], Step [400/400], Loss: 0.1408
Epoch [94/100], Step [400/400], Loss: 0.1276
Epoch [95/100], Step [400/400], Loss: 0.1204
Epoch [96/100], Step [400/400], Loss: 0.1196
Epoch [97/100], Step [400/400], Loss: 0.1124
Epoch [98/100], Step [400/400], Loss: 0.1088
Epoch [99/100], Step [400/400], Loss: 0.1073
Epoch [100/100], Step [400/400], Loss: 0.1073

Average training loss: 0.39
Best training loss: 0.11
Worst training loss: 0.44

Average training time: 16.02 s
Best training time: 13.16 s
Worst training time: 19.56 s

Average testing loss: 0.10
Best testing loss: 0.09
Worst testing loss: 0.13
